timestamp,latitude,longitude,id_indicator,sst_measurement_method,sea_surface_temp
1927-04-18 12:00:00 UTC,33.62,-79.87,10,,22.2
1926-09-07 09:00:00 UTC,32.5,-79.5,9,0,26.7
1971-04-19 00:00:00 UTC,32.4,-79.9,,,17.8
1942-10-28 22:00:00 UTC,32.8,-79.9,10,,21.7
1978-05-15 18:00:00 UTC,32.5,-79.4,9,,26.7
1976-01-02 06:00:00 UTC,32.5,-79.2,1,,22.2
1986-11-24 00:00:00 UTC,32.1,-79.6,1,,25.6
1978-04-05 18:00:00 UTC,32.7,-79.2,,9,16.1
1979-05-11 06:00:00 UTC,32.1,-80.2,1,9,22
1952-01-15 06:00:00 UTC,32.2,-79.7,10,,22.2
1960-05-03 00:00:00 UTC,32.4,-79.4,10,,18.9
1956-05-26 00:00:00 UTC,33,-79.6,10,,27.8
1955-07-03 18:00:00 UTC,32.3,-79.7,10,,30
1952-05-28 06:00:00 UTC,32.8,-79.1,10,,23.9
1960-11-25 12:00:00 UTC,32.2,-79.5,10,,18.3
1952-07-16 00:00:00 UTC,32.8,-79.2,10,,27.8
1962-12-08 06:00:00 UTC,32.5,-79.3,10,,12.2
1962-03-08 06:00:00 UTC,32.2,-79.3,10,,21.1
1967-07-25 06:00:00 UTC,32.3,-79.2,9,,28.9
1967-10-16 06:00:00 UTC,32.2,-79.2,9,,25
1992-04-26 15:00:00 UTC,32.1,-79.1,1,1,24.7
1997-09-17 06:00:00 UTC,32.5,-79.1,1,1,28.1
1976-09-19 06:00:00 UTC,32.2,-79.1,1,,26.7
1975-06-03 00:00:00 UTC,32.1,-79.5,1,9,25.5
1990-09-29 06:00:00 UTC,32.8,-79.3,1,1,28.9
1975-04-19 12:00:00 UTC,32.8,-79.2,1,9,17.8
1971-10-09 18:00:00 UTC,32.2,-79.1,0,,24.4
1987-10-20 18:00:00 UTC,32.9,-79.1,1,,23.2
1994-08-05 00:00:00 UTC,32.4,-80,1,0,28.3
1968-06-30 00:00:00 UTC,32.1,-79.9,9,0,25.6
1967-04-10 18:00:00 UTC,32.4,-79.3,9,,18.3
1972-02-28 12:00:00 UTC,32.4,-79.8,0,,14.4
1974-11-12 06:00:00 UTC,32.4,-79.4,1,,23.9
1987-01-30 00:00:00 UTC,32.7,-79.5,1,0,13.5
1967-10-23 18:00:00 UTC,32.3,-79.3,,,25
1988-02-28 00:00:00 UTC,32.4,-79.2,1,,19
1953-12-25 12:00:00 UTC,32.5,-79.3,10,,22.2
1958-09-08 18:00:00 UTC,32.5,-79.5,,,26.1
1965-03-01 18:00:00 UTC,32.9,-79.9,9,,17.8
1945-02-28 13:00:00 UTC,33.5,-79.5,9,,23.9
1934-01-13 21:00:00 UTC,32.2,-80,10,10,14
1896-01-17 01:00:00 UTC,32.5,-80.5,9,0,10
1985-06-22 00:00:00 UTC,32.8,-79.9,1,,26.7
1924-10-06 09:00:00 UTC,32.5,-79.5,,10,25.8
2000-04-03 17:49:00 UTC,32.5,-79.1,3,,20.2
2000-04-04 17:49:00 UTC,32.5,-79.1,3,,19.9
2000-02-28 08:49:00 UTC,32.5,-79.1,3,,16.8
1999-06-28 05:49:00 UTC,32.5,-79.1,3,,26.3
2000-08-17 20:49:00 UTC,32.5,-79.1,3,,28.4
2000-06-22 11:49:00 UTC,32.5,-79.1,3,,27.2
2000-11-06 17:49:00 UTC,32.5,-79.1,3,,24.1
1999-07-29 17:49:00 UTC,32.5,-79.1,3,,29.7
2000-02-28 11:49:00 UTC,32.5,-79.1,3,,18.9
2000-03-25 08:49:00 UTC,32.5,-79.1,3,,20.6
2000-03-19 14:49:00 UTC,32.5,-79.1,3,,19.3
2000-06-06 11:49:00 UTC,32.5,-79.1,3,,24.9
2000-09-21 23:49:00 UTC,32.5,-79.1,3,,26.8
2000-08-08 20:49:00 UTC,32.5,-79.1,3,,27.8
2000-09-03 17:49:00 UTC,32.5,-79.1,3,,28.1
2000-06-22 05:49:00 UTC,32.5,-79.1,3,,27.4
2000-08-20 17:49:00 UTC,32.5,-79.1,3,,27.9
1999-08-22 20:49:00 UTC,32.5,-79.1,3,,29.4
2000-09-20 11:49:00 UTC,32.5,-79.1,3,,27.1
2000-07-14 17:49:00 UTC,32.5,-79.1,3,,27.9
2000-12-31 20:49:00 UTC,32.5,-79.1,3,,18.1
2000-08-15 23:49:00 UTC,32.5,-79.1,3,,28.7
1999-09-15 08:49:00 UTC,32.5,-79.1,3,,26.6
1999-07-17 02:49:00 UTC,32.5,-79.1,3,,28
2000-08-30 05:49:00 UTC,32.5,-79.1,3,,28.1
2000-08-03 05:49:00 UTC,32.5,-79.1,3,,28
2000-11-02 23:49:00 UTC,32.5,-79.1,3,,23.6
2000-07-13 23:49:00 UTC,32.5,-79.1,3,,28.1
2000-04-22 14:49:00 UTC,32.5,-79.1,3,,20.2
1999-08-29 17:49:00 UTC,32.5,-79.1,3,,28.5
2000-01-01 05:49:00 UTC,32.5,-79.1,3,,21
2000-11-22 05:49:00 UTC,32.5,-79.1,3,,23.2
2000-10-07 23:49:00 UTC,32.5,-79.1,3,,26.1
1999-04-19 02:49:00 UTC,32.5,-79.1,3,,20.8
1996-06-15 08:49:00 UTC,32.5,-79.1,3,,25.8
1999-02-28 02:49:00 UTC,32.5,-79.1,3,,19
1999-01-18 11:49:00 UTC,32.5,-79.1,3,,20.3
1996-08-21 23:49:00 UTC,32.5,-79.1,3,,27.7
1999-03-07 05:49:00 UTC,32.5,-79.1,3,,19.5
1995-07-29 20:49:00 UTC,32.5,-79.1,3,,28.9
1994-09-27 20:49:00 UTC,32.5,-79.1,3,,25.1
1999-01-18 05:49:00 UTC,32.5,-79.1,3,,19.8
1992-07-21 03:00:00 UTC,32.5,-79.1,3,,28.4
1992-08-04 21:13:00 UTC,32.5,-79.1,3,,27.7
1996-03-02 17:49:00 UTC,32.5,-79.1,3,,18.2
1999-03-24 05:49:00 UTC,32.5,-79.1,3,,18.8
1992-06-23 21:13:00 UTC,32.5,-79.1,3,,26.1
1996-07-31 11:49:00 UTC,32.5,-79.1,3,,27.6
1999-01-22 23:49:00 UTC,32.5,-79.1,3,,20.4
1998-11-17 08:49:00 UTC,32.5,-79.1,3,,22.8
1992-07-08 00:00:00 UTC,32.5,-79.1,3,,28.2
1994-09-26 05:49:00 UTC,32.5,-79.1,3,,25
1999-03-14 17:49:00 UTC,32.5,-79.1,3,,19.5
1995-09-02 02:49:00 UTC,32.5,-79.1,3,,27.4
1993-07-17 02:49:00 UTC,32.5,-79.1,3,,28.5
1994-07-27 17:49:00 UTC,32.5,-79.1,3,,27.4
1994-10-26 17:49:00 UTC,32.5,-79.1,3,,22.2
1993-05-11 00:13:00 UTC,32.5,-79.1,3,,22.2
1996-02-28 11:49:00 UTC,32.5,-79.1,3,,18.3
1996-04-09 23:49:00 UTC,32.5,-79.1,3,,17.2
1992-08-16 00:13:00 UTC,32.5,-79.1,3,,27.6
1992-07-31 18:13:00 UTC,32.5,-79.1,3,,29
1994-06-14 23:49:00 UTC,32.5,-79.1,3,,26.1
1998-11-06 23:49:00 UTC,32.5,-79.1,3,,23.4
1999-02-28 17:49:00 UTC,32.5,-79.1,3,,19.8
1995-09-08 02:49:00 UTC,32.5,-79.1,3,,26.8
1993-09-29 08:49:00 UTC,32.5,-79.1,3,,26.6
1994-09-15 05:49:00 UTC,32.5,-79.1,3,,27.4
1995-10-31 05:49:00 UTC,32.5,-79.1,3,,25.3
1992-11-23 06:13:00 UTC,32.5,-79.1,3,,22.2
1996-03-16 14:49:00 UTC,32.5,-79.1,3,,17.6
1992-08-01 06:13:00 UTC,32.5,-79.1,3,,28.5
1994-07-01 17:49:00 UTC,32.5,-79.1,3,,26.6
1996-03-26 11:49:00 UTC,32.5,-79.1,3,,16.5
1994-11-25 14:49:00 UTC,32.5,-79.1,3,,23
1996-03-27 02:49:00 UTC,32.5,-79.1,3,,17.3
1995-12-12 14:49:00 UTC,32.5,-79.1,3,,21.1
1999-01-15 20:49:00 UTC,32.5,-79.1,3,,19.8
1996-04-26 02:49:00 UTC,32.5,-79.1,3,,18.8
1999-02-28 08:49:00 UTC,32.5,-79.1,3,,19.6
1994-12-03 23:49:00 UTC,32.5,-79.1,3,,23.5
1995-10-28 20:49:00 UTC,32.5,-79.1,3,,24.6
1999-02-28 08:49:00 UTC,32.5,-79.1,3,,19.1
1998-11-10 02:49:00 UTC,32.5,-79.1,3,,23.5
1994-07-30 08:49:00 UTC,32.5,-79.1,3,,27.4
1998-11-06 02:49:00 UTC,32.5,-79.1,3,,24.2
1996-06-02 08:49:00 UTC,32.5,-79.1,3,,24.3
1993-10-15 17:49:00 UTC,32.5,-79.1,3,,25.3
1996-03-24 02:49:00 UTC,32.5,-79.1,3,,16.5
1996-06-27 17:49:00 UTC,32.5,-79.1,3,,26.8
1995-08-26 14:49:00 UTC,32.5,-79.1,3,,27.7
1996-01-05 11:49:00 UTC,32.5,-79.1,3,,19.1
1994-11-23 11:49:00 UTC,32.5,-79.1,3,,21.9
1995-10-26 23:49:00 UTC,32.5,-79.1,3,,25.4
1992-10-12 18:13:00 UTC,32.5,-79.1,3,,24.3
1994-01-09 02:49:00 UTC,32.5,-79.1,3,,15.7
1994-10-07 05:49:00 UTC,32.5,-79.1,3,,24.3
